"id-to","entity-to-name","year","value"
"PG","Papua New Guinea",1988,0
"PG","Papua New Guinea",1999,123747222.54
"PG","Papua New Guinea",1989,0
"PG","Papua New Guinea",1993,0
"PG","Papua New Guinea",1975,0
"PG","Papua New Guinea",1983,0
"PG","Papua New Guinea",2003,338315955.1
"PG","Papua New Guinea",1984,0
"PG","Papua New Guinea",1981,0
"PG","Papua New Guinea",1998,212480073.21
"PG","Papua New Guinea",1995,0
"PG","Papua New Guinea",1979,0
"PG","Papua New Guinea",1986,0
"PG","Papua New Guinea",1978,0
"PG","Papua New Guinea",1990,0
"PG","Papua New Guinea",1985,0
"PG","Papua New Guinea",1974,0
"PG","Papua New Guinea",1997,0
"PG","Papua New Guinea",1982,0
"PG","Papua New Guinea",1999,123747222.54
"PG","Papua New Guinea",2003,338315955.1
"PG","Papua New Guinea",1986,0
"PG","Papua New Guinea",2002,359858945.39
"PG","Papua New Guinea",1990,0
"PG","Papua New Guinea",2003,338315955.1
"PG","Papua New Guinea",1979,0
"PG","Papua New Guinea",1978,0
"PG","Papua New Guinea",1986,0
"PG","Papua New Guinea",2002,359858945.39
"PG","Papua New Guinea",1980,0
"PG","Papua New Guinea",1990,0
"PG","Papua New Guinea",1998,212480073.21
"PG","Papua New Guinea",1999,123747222.54
"PG","Papua New Guinea",1986,0
"PG","Papua New Guinea",2002,359858945.39
"PG","Papua New Guinea",1990,0
"PF","French Polynesia",1999,613241.07
"PE","Peru",2015,1393726.7
"PF","French Polynesia",1996,0
"PG","Papua New Guinea",2002,359858945.39
"PG","Papua New Guinea",1989,0
"PF","French Polynesia",1997,0
"PG","Papua New Guinea",1990,0
"PG","Papua New Guinea",1997,0
"PE","Peru",2013,2215423.78
"PG","Papua New Guinea",1986,0
"PG","Papua New Guinea",1999,123747222.54
"PG","Papua New Guinea",2014,345934868.1
"PF","French Polynesia",1993,0
"PG","Papua New Guinea",1988,0
"PG","Papua New Guinea",1983,0
"PG","Papua New Guinea",1982,0
"PG","Papua New Guinea",1993,0
"PG","Papua New Guinea",1978,0
"PE","Peru",2000,11563.97
"PG","Papua New Guinea",1998,212480073.21
"PG","Papua New Guinea",1981,0
"PG","Papua New Guinea",1975,0
"PG","Papua New Guinea",2012,364775004.84
"PG","Papua New Guinea",1980,0
"PG","Papua New Guinea",1979,0
"PG","Papua New Guinea",2003,338315955.1
"PG","Papua New Guinea",1974,0
"PG","Papua New Guinea",2011,373039926.79
"PG","Papua New Guinea",1985,0
"PG","Papua New Guinea",1980,0
"PG","Papua New Guinea",2003,338315955.1
"PG","Papua New Guinea",1986,0
"PG","Papua New Guinea",1999,123747222.54
"PG","Papua New Guinea",1988,0
"PG","Papua New Guinea",1979,0
"PG","Papua New Guinea",1983,0
"PG","Papua New Guinea",2002,359858945.39
"PG","Papua New Guinea",2011,373039926.79
"PG","Papua New Guinea",1990,0
"PG","Papua New Guinea",2012,364775004.84
"PG","Papua New Guinea",1995,0
"PG","Papua New Guinea",1999,123747222.54
"PE","Peru",2000,11563.97
"PG","Papua New Guinea",1978,0
"PG","Papua New Guinea",2002,359858945.39
"PG","Papua New Guinea",1986,0
"PG","Papua New Guinea",1990,0
"PG","Papua New Guinea",2003,338315955.1
"PG","Papua New Guinea",2003,338315955.1
"PG","Papua New Guinea",2002,359858945.39
"PG","Papua New Guinea",1999,123747222.54
"PG","Papua New Guinea",1990,0
"PG","Papua New Guinea",1986,0
"PG","Papua New Guinea",1988,0
"PG","Papua New Guinea",1993,0
"PG","Papua New Guinea",1978,0
"PG","Papua New Guinea",1980,0
"PG","Papua New Guinea",1981,0
"PG","Papua New Guinea",2003,338315955.1
"PG","Papua New Guinea",1975,0
"PG","Papua New Guinea",1986,0
"PG","Papua New Guinea",1990,0
"PG","Papua New Guinea",2002,359858945.39
"PG","Papua New Guinea",1998,212480073.21
"PG","Papua New Guinea",1999,123747222.54
"PG","Papua New Guinea",1997,0
"PG","Papua New Guinea",2003,338315955.1
"PG","Papua New Guinea",1999,123747222.54
"PG","Papua New Guinea",1998,212480073.21
"PG","Papua New Guinea",1990,0
"PG","Papua New Guinea",1986,0
"PG","Papua New Guinea",2002,359858945.39
"PG","Papua New Guinea",1998,212480073.21
"PG","Papua New Guinea",1990,0
"PG","Papua New Guinea",1975,0
"PG","Papua New Guinea",2003,338315955.1
"PG","Papua New Guinea",1979,0
"PG","Papua New Guinea",1999,123747222.54
"PG","Papua New Guinea",1980,0
"PG","Papua New Guinea",1978,0
"PG","Papua New Guinea",1983,0
"PG","Papua New Guinea",1979,0
"PG","Papua New Guinea",1980,0
"PG","Papua New Guinea",1975,0
"PG","Papua New Guinea",1981,0
"PG","Papua New Guinea",1997,0
"PG","Papua New Guinea",1998,212480073.21
"PG","Papua New Guinea",1986,0
"PG","Papua New Guinea",1990,0
"PG","Papua New Guinea",2003,338315955.1
"PG","Papua New Guinea",2002,359858945.39
"PG","Papua New Guinea",1988,0
"PG","Papua New Guinea",1997,0
"PG","Papua New Guinea",1978,0
"PG","Papua New Guinea",1982,0
"PG","Papua New Guinea",1989,0
"PG","Papua New Guinea",1975,0
"PG","Papua New Guinea",1998,212480073.21
"PG","Papua New Guinea",1981,0
"PG","Papua New Guinea",1993,0
"PG","Papua New Guinea",1979,0
"PG","Papua New Guinea",1981,0
"PG","Papua New Guinea",1998,212480073.21
"PG","Papua New Guinea",1999,123747222.54
"PG","Papua New Guinea",1997,0
"PG","Papua New Guinea",1990,0
"PG","Papua New Guinea",2002,359858945.39
"PG","Papua New Guinea",1978,0
"PG","Papua New Guinea",1986,0
"PG","Papua New Guinea",1980,0
"PG","Papua New Guinea",2003,338315955.1
"PG","Papua New Guinea",1975,0
"PG","Papua New Guinea",1979,0
"PG","Papua New Guinea",2012,364775004.84
"PG","Papua New Guinea",2011,373039926.79
"PG","Papua New Guinea",2013,367584121.89
"PF","French Polynesia",1993,0
"PG","Papua New Guinea",1976,0
"PG","Papua New Guinea",2014,345934868.1
"PF","French Polynesia",1983,0
"PG","Papua New Guinea",1995,0
"PG","Papua New Guinea",1992,0
"PF","French Polynesia",1997,0
"PF","French Polynesia",1996,0
"PF","French Polynesia",1998,21958.49
"PG","Papua New Guinea",1983,0
"PG","Papua New Guinea",1984,0
"PG","Papua New Guinea",1985,0
"PG","Papua New Guinea",2015,416449234.37
"PG","Papua New Guinea",1991,0
"PG","Papua New Guinea",1973,0
"PG","Papua New Guinea",2003,338315955.1
"PG","Papua New Guinea",1994,0
"PE","Peru",2015,1393726.7
"PE","Peru",1999,0
"PF","French Polynesia",1999,613241.07
"PE","Peru",2013,2215423.78
"PG","Papua New Guinea",1979,0
"PG","Papua New Guinea",1980,0
"PG","Papua New Guinea",1981,0
"PG","Papua New Guinea",1982,0
"PG","Papua New Guinea",1997,0
"PG","Papua New Guinea",1998,212480073.21
"PG","Papua New Guinea",1974,0
"PG","Papua New Guinea",1975,0
"PG","Papua New Guinea",1988,0
"PG","Papua New Guinea",1989,0
"PG","Papua New Guinea",1993,0
"PG","Papua New Guinea",1978,0
"PG","Papua New Guinea",2002,359858945.39
"PE","Peru",2000,11563.97
"PE","Peru",2014,1375195.73
"PG","Papua New Guinea",1990,0
"PG","Papua New Guinea",1999,123747222.54
"PG","Papua New Guinea",1986,0
"PE","Peru",2007,250641.95
"PG","Papua New Guinea",1991,0
"PG","Papua New Guinea",1995,0
"PG","Papua New Guinea",1973,0
"PG","Papua New Guinea",2014,345934868.1
"PF","French Polynesia",1983,0
"PF","French Polynesia",1997,0
"PF","French Polynesia",1996,0
"PG","Papua New Guinea",1994,0
"PG","Papua New Guinea",2015,416449234.37
"PE","Peru",2007,250641.95
"PG","Papua New Guinea",2002,359858945.39
"PF","French Polynesia",1998,21958.49
"PE","Peru",2013,2215423.78
"PE","Peru",2015,1393726.7
"PF","French Polynesia",1999,613241.07
"PE","Peru",1999,0
"PG","Papua New Guinea",2011,373039926.79
"PG","Papua New Guinea",2012,364775004.84
"PF","French Polynesia",1993,0
"PG","Papua New Guinea",1992,0
"PG","Papua New Guinea",2013,367584121.89
"PG","Papua New Guinea",1999,123747222.54
"PE","Peru",2000,11563.97
"PE","Peru",2014,1375195.73
"PG","Papua New Guinea",1988,0
"PG","Papua New Guinea",2003,338315955.1
"PG","Papua New Guinea",1993,0
"PG","Papua New Guinea",1978,0
"PG","Papua New Guinea",1979,0
"PG","Papua New Guinea",1980,0
"PG","Papua New Guinea",1981,0
"PG","Papua New Guinea",1982,0
"PG","Papua New Guinea",1976,0
"PG","Papua New Guinea",1984,0
"PG","Papua New Guinea",1985,0
"PG","Papua New Guinea",1974,0
"PG","Papua New Guinea",1975,0
"PG","Papua New Guinea",1990,0
"PG","Papua New Guinea",1989,0
"PG","Papua New Guinea",1998,212480073.21
"PG","Papua New Guinea",1983,0
"PG","Papua New Guinea",1997,0
"PG","Papua New Guinea",1986,0
"PG","Papua New Guinea",1981,0
"PG","Papua New Guinea",1979,0
"PG","Papua New Guinea",1998,212480073.21
"PG","Papua New Guinea",2003,338315955.1
"PG","Papua New Guinea",1997,0
"PG","Papua New Guinea",1993,0
"PG","Papua New Guinea",1980,0
"PG","Papua New Guinea",1983,0
"PG","Papua New Guinea",1990,0
"PG","Papua New Guinea",2002,359858945.39
"PG","Papua New Guinea",1978,0
"PG","Papua New Guinea",1982,0
"PG","Papua New Guinea",1986,0
"PG","Papua New Guinea",2012,364775004.84
"PG","Papua New Guinea",1999,123747222.54
"PF","French Polynesia",1997,0
"PG","Papua New Guinea",2002,359858945.39
"PG","Papua New Guinea",1984,0
"PG","Papua New Guinea",1986,0
"PG","Papua New Guinea",1990,0
"PG","Papua New Guinea",1981,0
"PG","Papua New Guinea",1974,0
"PG","Papua New Guinea",1975,0
"PG","Papua New Guinea",1978,0
"PG","Papua New Guinea",1998,212480073.21
"PG","Papua New Guinea",1999,123747222.54
"PG","Papua New Guinea",1997,0
"PG","Papua New Guinea",1989,0
"PG","Papua New Guinea",1979,0
"PG","Papua New Guinea",2003,338315955.1
"PG","Papua New Guinea",1982,0
"PG","Papua New Guinea",1988,0
"PG","Papua New Guinea",1979,0
"PG","Papua New Guinea",1990,0
"PG","Papua New Guinea",1978,0
"PG","Papua New Guinea",1998,212480073.21
"PG","Papua New Guinea",1999,123747222.54
"PG","Papua New Guinea",2003,338315955.1
"PG","Papua New Guinea",2002,359858945.39
"PG","Papua New Guinea",1986,0
"PG","Papua New Guinea",1980,0
"PG","Papua New Guinea",1976,0
"PG","Papua New Guinea",2013,367584121.89
"PG","Papua New Guinea",1991,0
"PG","Papua New Guinea",1981,0
"PG","Papua New Guinea",1989,0
"PG","Papua New Guinea",1978,0
"PF","French Polynesia",1997,0
"PG","Papua New Guinea",1979,0
"PF","French Polynesia",1993,0
"PG","Papua New Guinea",2015,416449234.37
"PG","Papua New Guinea",1982,0
"PG","Papua New Guinea",1997,0
"PG","Papua New Guinea",1973,0
"PG","Papua New Guinea",1986,0
"PG","Papua New Guinea",1974,0
"PG","Papua New Guinea",1975,0
"PG","Papua New Guinea",1988,0
"PG","Papua New Guinea",2003,338315955.1
"PG","Papua New Guinea",1993,0
"PE","Peru",2000,11563.97
"PF","French Polynesia",1983,0
"PG","Papua New Guinea",1999,123747222.54
"PG","Papua New Guinea",2014,345934868.1
"PG","Papua New Guinea",1990,0
"PG","Papua New Guinea",1998,212480073.21
"PG","Papua New Guinea",2002,359858945.39
"PG","Papua New Guinea",1984,0
"PG","Papua New Guinea",1974,0
"PG","Papua New Guinea",1979,0
"PG","Papua New Guinea",1989,0
"PG","Papua New Guinea",2011,373039926.79
"PG","Papua New Guinea",2012,364775004.84
"PG","Papua New Guinea",1983,0
"PG","Papua New Guinea",1997,0
"PG","Papua New Guinea",1985,0
"PG","Papua New Guinea",1999,123747222.54
"PG","Papua New Guinea",1975,0
"PG","Papua New Guinea",1988,0
"PG","Papua New Guinea",2014,345934868.1
"PG","Papua New Guinea",1993,0
"PG","Papua New Guinea",1978,0
"PG","Papua New Guinea",1994,0
"PG","Papua New Guinea",1980,0
"PG","Papua New Guinea",1981,0
"PE","Peru",2000,11563.97
"PG","Papua New Guinea",1982,0
"PE","Peru",2015,1393726.7
"PG","Papua New Guinea",1998,212480073.21
"PF","French Polynesia",1993,0
"PG","Papua New Guinea",1976,0
"PG","Papua New Guinea",2013,367584121.89
"PG","Papua New Guinea",2015,416449234.37
"PG","Papua New Guinea",1991,0
"PG","Papua New Guinea",2003,338315955.1
"PE","Peru",1999,0
"PG","Papua New Guinea",1995,0
"PG","Papua New Guinea",1992,0
"PF","French Polynesia",1999,613241.07
"PF","French Polynesia",1997,0
"PE","Peru",2013,2215423.78
"PG","Papua New Guinea",1990,0
"PG","Papua New Guinea",2002,359858945.39
"PF","French Polynesia",1996,0
"PG","Papua New Guinea",1986,0
"PF","French Polynesia",1983,0
"PF","French Polynesia",1998,21958.49
"PG","Papua New Guinea",1989,0
"PG","Papua New Guinea",1988,0
"PG","Papua New Guinea",1998,212480073.21
"PG","Papua New Guinea",1975,0
"PG","Papua New Guinea",1990,0
"PG","Papua New Guinea",2003,338315955.1
"PG","Papua New Guinea",1986,0
"PG","Papua New Guinea",1989,0
"PG","Papua New Guinea",1993,0
"PG","Papua New Guinea",1978,0
"PG","Papua New Guinea",1979,0
"PG","Papua New Guinea",1980,0
"PG","Papua New Guinea",1981,0
"PG","Papua New Guinea",1982,0
"PG","Papua New Guinea",1990,0
"PG","Papua New Guinea",2002,359858945.39
"PG","Papua New Guinea",2003,338315955.1
"PG","Papua New Guinea",2015,416449234.37
"PG","Papua New Guinea",2014,345934868.1
"PG","Papua New Guinea",1994,0
"PG","Papua New Guinea",1995,0
"PG","Papua New Guinea",1992,0
"PG","Papua New Guinea",2011,373039926.79
"PG","Papua New Guinea",1997,0
"PG","Papua New Guinea",1998,212480073.21
"PG","Papua New Guinea",1999,123747222.54
"PG","Papua New Guinea",1986,0
"PF","French Polynesia",1996,0
"PF","French Polynesia",1998,21958.49
"PF","French Polynesia",1983,0
"PF","French Polynesia",1999,613241.07
"PF","French Polynesia",1997,0
"PE","Peru",2000,11563.97
"PE","Peru",2014,1375195.73
"PG","Papua New Guinea",1988,0
"PG","Papua New Guinea",1983,0
"PG","Papua New Guinea",1974,0
"PG","Papua New Guinea",1975,0
"PG","Papua New Guinea",2012,364775004.84
"PG","Papua New Guinea",1984,0
"PG","Papua New Guinea",1985,0
"PG","Papua New Guinea",1993,0
"PG","Papua New Guinea",2015,416449234.37
"PG","Papua New Guinea",1983,0
"PG","Papua New Guinea",1995,0
"PG","Papua New Guinea",1989,0
"PG","Papua New Guinea",1992,0
"PG","Papua New Guinea",1978,0
"PG","Papua New Guinea",1979,0
"PG","Papua New Guinea",1980,0
"PG","Papua New Guinea",1985,0
"PG","Papua New Guinea",2011,373039926.79
"PG","Papua New Guinea",1982,0
"PG","Papua New Guinea",1984,0
"PG","Papua New Guinea",2013,367584121.89
"PG","Papua New Guinea",2002,359858945.39
"PG","Papua New Guinea",1973,0
"PG","Papua New Guinea",1988,0
"PG","Papua New Guinea",1994,0
"PE","Peru",2013,2215423.78
"PG","Papua New Guinea",1981,0
"PG","Papua New Guinea",2014,345934868.1
"PG","Papua New Guinea",1997,0
"PG","Papua New Guinea",1998,212480073.21
"PG","Papua New Guinea",1974,0
"PF","French Polynesia",1997,0
"PF","French Polynesia",1993,0
"PG","Papua New Guinea",1976,0
"PG","Papua New Guinea",1990,0
"PE","Peru",2015,1393726.7
"PG","Papua New Guinea",1991,0
"PE","Peru",1999,0
"PE","Peru",2000,11563.97
"PF","French Polynesia",1998,21958.49
"PF","French Polynesia",1999,613241.07
"PG","Papua New Guinea",1999,123747222.54
"PF","French Polynesia",1996,0
"PG","Papua New Guinea",1975,0
"PG","Papua New Guinea",2003,338315955.1
"PG","Papua New Guinea",1986,0
"PF","French Polynesia",1983,0
"PG","Papua New Guinea",1976,0
"PG","Papua New Guinea",2002,359858945.39
"PG","Papua New Guinea",1994,0
"PG","Papua New Guinea",1975,0
"PF","French Polynesia",1993,0
"PG","Papua New Guinea",2003,338315955.1
"PG","Papua New Guinea",1990,0
"PG","Papua New Guinea",1986,0
"PG","Papua New Guinea",2013,367584121.89
"PG","Papua New Guinea",1991,0
"PG","Papua New Guinea",1999,123747222.54
"PG","Papua New Guinea",1997,0
"PG","Papua New Guinea",1998,212480073.21
"PG","Papua New Guinea",1986,0
"PG","Papua New Guinea",1980,0
"PG","Papua New Guinea",1999,123747222.54
"PG","Papua New Guinea",1979,0
"PG","Papua New Guinea",1978,0
"PG","Papua New Guinea",1990,0
"PG","Papua New Guinea",1998,212480073.21
"PG","Papua New Guinea",1993,0
"PG","Papua New Guinea",1989,0
"PG","Papua New Guinea",2003,338315955.1
"PG","Papua New Guinea",1983,0
"PG","Papua New Guinea",1980,0
"PG","Papua New Guinea",1985,0
"PG","Papua New Guinea",1981,0
"PG","Papua New Guinea",1979,0
"PG","Papua New Guinea",1984,0
"PG","Papua New Guinea",1990,0
"PG","Papua New Guinea",1974,0
"PG","Papua New Guinea",1982,0
"PG","Papua New Guinea",1988,0
"PG","Papua New Guinea",1997,0
"PG","Papua New Guinea",2002,359858945.39
"PG","Papua New Guinea",1978,0
"PG","Papua New Guinea",1975,0
"PG","Papua New Guinea",1986,0
"PG","Papua New Guinea",1998,212480073.21
"PG","Papua New Guinea",1999,123747222.54
"PE","Peru",2000,11563.97
"PG","Papua New Guinea",1988,0
"PG","Papua New Guinea",1975,0
"PG","Papua New Guinea",1989,0
"PG","Papua New Guinea",1985,0
"PG","Papua New Guinea",1990,0
"PF","French Polynesia",1983,0
"PF","French Polynesia",1998,21958.49
"PG","Papua New Guinea",1973,0
"PG","Papua New Guinea",2014,345934868.1
"PG","Papua New Guinea",1991,0
"PG","Papua New Guinea",2013,367584121.89
"PG","Papua New Guinea",1995,0
"PG","Papua New Guinea",1992,0
"PG","Papua New Guinea",2011,373039926.79
"PG","Papua New Guinea",2012,364775004.84
"PG","Papua New Guinea",1983,0
"PG","Papua New Guinea",1984,0
"PG","Papua New Guinea",1985,0
"PG","Papua New Guinea",1976,0
"PG","Papua New Guinea",1975,0
"PG","Papua New Guinea",2015,416449234.37
"PG","Papua New Guinea",1986,0
"PG","Papua New Guinea",1990,0
"PG","Papua New Guinea",1994,0
"PG","Papua New Guinea",1993,0
